RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Springfield, IL",Msa,IL,123938.92,124018.25,126172.50,127852.92,130787.75,130934.58,132355.42,133596.67,134493.33,136102.50,
"Tyler, TX",Msa,TX,136653.33,133268.50,132863.17,136848.67,143106.25,150506.75,157890.08,163128.75,170059.50,176934.75,
"Las Cruces, NM",Msa,NM,189890.50,172158.67,165200.58,163712.17,166536.75,163181.92,162877.08,165618.17,173247.25,186122.75,
"Fargo, ND",Msa,ND,179514.67,175062.25,170037.83,179905.00,191198.17,207133.00,220205.92,223763.58,227265.08,228549.67,
"Houma, LA",Msa,LA,135743.42,135940.83,135929.25,136048.75,139711.50,144682.58,147781.42,151166.83,153934.92,161908.50,
"Rochester, MN",Msa,MN,169057.42,158385.08,161700.17,167096.08,175015.25,181483.33,195648.67,210504.08,224685.58,235334.83,
"Florence, SC",Msa,SC,104821.42,100974.33,101303.75,101929.92,105299.92,108362.58,111272.25,114406.58,119566.17,121433.00,
"Medford, OR",Msa,OR,225669.75,204796.17,193223.33,218245.92,235905.50,250206.58,266919.50,292861.67,311931.17,319359.08,
"Lafayette-West Lafayette, IN",Msa,IN,126515.67,123180.00,121922.58,124078.08,128539.50,131751.17,137702.42,145353.92,155164.42,164333.42,
"Bellingham, WA",Msa,WA,273747.33,261078.75,252065.67,267952.92,275107.50,287875.08,310380.33,346285.67,381054.33,412191.08,
"Lake Havasu City, AZ",Msa,AZ,148842.42,137631.17,139977.83,152332.67,166419.67,172890.00,181249.67,193122.92,211166.83,231279.83,
"Saginaw, MI",Msa,MI,84634.42,77948.17,74375.83,78240.67,78451.67,77806.75,77310.50,85732.58,91133.42,97761.83,
"Lake Charles, LA",Msa,LA,178764.97,178792.91,178798.41,178703.57,178876.76,178814.90,178703.57,179111.80,178629.33,178369.58,
"Johnson City, TN",Msa,TN,124682.00,122346.92,121352.33,123566.25,126748.25,128784.92,133556.67,139447.08,146847.08,152483.58,
"Elkhart, IN",Msa,IN,118167.75,114532.00,113444.42,116683.25,122598.50,128967.67,135931.17,144211.58,153193.83,163777.25,
"Yuma, AZ",Msa,AZ,144699.25,123408.42,118072.50,124106.50,132301.17,135812.58,138904.83,147444.67,155314.25,161598.25,
"Racine, WI",Msa,WI,127514.58,111560.33,108836.17,113843.58,124330.17,127440.50,130829.92,140721.75,152820.00,165763.00,
"Athens, GA",Msa,GA,150531.25,140915.58,129308.00,141858.92,148264.17,155550.92,163336.17,175184.25,190888.75,205208.08,
"Torrington, CT",Msa,CT,248074.67,242793.08,215564.50,228648.92,228993.00,229912.92,230120.58,234213.25,240939.83,243581.50,
"St. Cloud, MN",Msa,MN,168286.67,151973.42,159137.83,163328.92,172643.50,171986.25,182481.42,192291.92,203770.42,214230.00,
"Hilton Head Island, SC",Msa,SC,278501.33,258099.67,247701.33,255200.25,268530.50,278466.58,290901.17,295030.58,305950.83,315490.67,
"Bloomington, IL",Msa,IL,152433.92,147496.33,144867.83,148308.00,150879.42,150047.08,149728.50,151580.25,152697.17,152303.25,
"Hilo, HI",Msa,HI,342887.58,339312.31,339922.35,344099.43,348216.26,325011.20,342362.50,360807.75,364683.58,379081.25,
"Panama City, FL",Msa,FL,181337.75,164719.83,159967.50,166603.08,177549.33,184713.42,192862.92,201035.42,217344.67,223918.00,
"Kingston, NY",Msa,NY,227451.25,211968.00,200808.17,199431.92,205114.92,208222.83,203338.08,212082.17,224339.17,242526.83,
"Daphne, AL",Msa,AL,173061.50,158529.58,154304.58,159810.33,166581.67,172993.25,179266.92,184424.17,201916.67,218547.83,
"Gainesville, GA",Msa,GA,163791.17,142337.08,144490.50,153449.50,176064.75,182207.83,195480.83,209371.83,224442.08,236494.25,
"Warner Robins, GA",Msa,GA,126919.50,121377.75,118878.00,119980.58,122903.25,122952.25,127216.33,129878.50,137496.17,144536.58,
"Blacksburg, VA",Msa,VA,160854.42,158104.08,159177.92,163560.00,166925.92,167369.33,170109.83,175782.50,183318.17,193559.25,
"Jacksonville, NC",Msa,NC,173455.00,172570.92,166995.17,157353.58,145741.83,143336.50,140918.92,143050.83,151677.92,164619.17,
"Redding, CA",Msa,CA,134880.92,125546.33,122941.25,144445.92,183168.83,209676.67,234605.92,249618.92,262296.33,277093.50,
"Monroe, LA",Msa,LA,120814.67,117609.50,116953.00,116922.83,119493.42,126294.00,129975.75,133477.42,135335.92,136742.50,
"Joplin, MO",Msa,MO,83013.50,82009.33,83845.92,88693.92,99706.33,108764.00,111586.33,115617.67,122474.75,129469.50,
"El Centro, CA",Msa,CA,123987.75,117589.17,127221.75,134617.50,155266.08,177641.58,187142.08,196000.42,208891.92,218083.33,
"Terre Haute, IN",Msa,IN,78420.92,77477.83,77523.25,77976.25,79179.17,81222.67,83289.92,86040.25,91589.08,95719.50,
"Muskegon, MI",Msa,MI,89244.67,82710.25,82691.00,89142.33,93043.75,99300.17,106986.75,116357.25,129698.83,142904.33,
"East Stroudsburg, PA",Msa,PA,175582.00,162002.50,149592.92,144807.17,143429.17,142824.67,142722.42,148249.92,158375.42,170366.25,
"Sioux City, IA",Msa,IA,102954.75,103219.08,106150.50,109173.25,113440.58,119260.58,122130.75,133321.08,138831.42,145045.17,
"Greenville, NC",Msa,NC,132555.50,129187.67,125896.00,124308.83,125334.58,125247.33,126321.00,130481.08,135822.75,142852.92,
"Waterloo, IA",Msa,IA,123511.17,121207.58,123764.50,126035.42,129177.17,130813.08,132392.00,133541.75,137364.08,141579.25,
"Oshkosh, WI",Msa,WI,122904.50,109612.58,107877.25,112803.17,119235.08,119940.17,126092.42,134931.33,143800.42,151412.58,
"Yuba City, CA",Msa,CA,180159.00,172649.42,173509.25,194754.75,214218.58,218627.75,233667.17,260590.17,286158.08,302201.33,
"Abilene, TX",Msa,TX,101174.00,97780.67,99716.83,102033.75,107867.58,110840.25,116869.00,121564.50,128145.83,133755.67,
"Columbia, MO",Msa,MO,166062.92,164175.92,166387.00,168869.92,172491.67,176100.75,179492.17,188272.42,191131.67,196440.75,
"Dover, DE",Msa,DE,210171.08,197872.00,188889.75,187043.67,193672.42,200005.00,206712.17,210143.17,219087.25,228832.83,
"Eau Claire, WI",Msa,WI,132617.58,127108.08,124776.67,132297.00,136449.50,139569.08,148121.42,158537.08,171045.58,178814.92,
"Janesville, WI",Msa,WI,101265.50,102879.00,98164.75,102752.75,107719.50,112077.00,117999.75,129948.83,140345.67,148574.00,
"Jackson, MI",Msa,MI,95507.00,90285.17,84222.83,95576.33,109917.58,112851.92,118902.50,124264.42,137513.50,148955.33,
"Punta Gorda, FL",Msa,FL,139592.42,126978.67,129053.08,144930.58,158898.33,172642.42,190607.92,204811.92,216385.75,226184.67,
"Bloomington, IN",Msa,IN,153651.50,149199.50,149682.25,152701.33,156180.08,159545.67,165335.50,174881.25,187540.25,200874.92,
"Pueblo, CO",Msa,CO,129527.75,124664.33,122039.08,124575.17,127144.67,133270.33,144891.58,156442.92,173531.17,191875.92,
"Billings, MT",Msa,MT,202276.50,203476.75,207280.25,218389.58,234380.42,243081.00,241005.58,245683.17,251107.67,261186.83,
"Bowling Green, KY",Msa,KY,126505.75,123619.50,123759.50,124757.50,127353.50,132051.50,139864.75,149992.33,160360.08,168444.50,
"Bend, OR",Msa,OR,231425.17,213389.50,217945.25,257891.08,291657.50,318551.67,347502.17,374143.42,401620.75,423139.92,
"Albany, GA",Msa,GA,87967.17,82805.92,80148.58,83186.58,88309.42,93048.42,97709.42,101839.83,106814.25,110848.25,
"Vineland, NJ",Msa,NJ,149048.75,144894.25,140259.42,138568.08,136300.83,134071.33,139767.58,140871.08,142301.17,140569.67,
"Niles, MI",Msa,MI,153709.00,145524.00,139290.58,143101.75,150299.92,154298.17,154450.17,160333.08,170645.33,181404.42,
"Kahului, HI",Msa,HI,591876.83,575282.17,561096.08,581607.92,572635.58,588415.92,608313.83,642144.92,685571.50,716685.58,
"Ottawa, IL",Msa,IL,106472.92,102593.33,100366.08,101110.92,103817.42,102740.00,105606.08,108896.67,111715.50,114467.67,
"State College, PA",Msa,PA,250926.33,242780.17,249600.92,214436.33,207374.08,214435.92,221849.92,227951.08,237499.25,250320.92,
"Bangor, ME",Msa,ME,141933.42,138721.83,137064.75,137141.42,129543.58,134662.33,139159.75,142856.08,149980.83,155516.17,
"Alexandria, LA",Msa,LA,138874.25,138444.50,141243.42,144416.50,146717.33,152452.75,156620.00,159341.08,162674.25,159085.83,
"Decatur, AL",Msa,AL,95804.75,94264.17,96167.33,107148.33,112325.58,114387.92,118541.75,122510.92,126112.42,133628.92,
"Hanford, CA",Msa,CA,162298.42,141369.17,141527.17,155601.92,175702.17,185418.58,198080.58,212833.92,222526.67,233161.08,
"Iowa City, IA",Msa,IA,183574.42,182433.92,183790.50,187508.42,193901.42,200479.25,204944.42,213486.67,222713.17,228027.00,
"Rocky Mount, NC",Msa,NC,102637.92,97249.83,96690.50,96948.92,98676.58,99332.92,101257.08,103929.58,107216.58,112110.33,
"Monroe, MI",Msa,MI,134676.50,126182.67,124447.67,125403.67,139137.00,149688.67,156146.50,161123.67,169292.33,177887.00,
"Wichita Falls, TX",Msa,TX,92379.33,91139.75,89589.17,91093.58,93885.25,95802.00,97943.50,101074.17,104775.92,107092.17,
"Burlington, NC",Msa,NC,156817.45,156842.61,156792.28,156892.95,156691.61,157094.29,156288.93,157899.65,154678.21,161121.08,
"Madera, CA",Msa,CA,155029.00,151255.50,152903.67,175301.58,205591.17,214121.00,226707.67,246733.50,268773.00,278226.67,
"Jefferson City, MO",Msa,MO,130455.33,124447.00,126241.83,129360.00,128390.50,133378.08,139870.17,143653.83,152703.33,159694.75,
"Chambersburg, PA",Msa,PA,173038.42,158772.58,155482.83,158220.83,161448.67,162197.92,162242.75,167533.50,177919.50,182672.67,
"Texarkana, TX",Msa,TX,75249.17,74930.42,77149.42,81646.25,86943.50,90735.42,94592.17,98732.83,102942.92,108139.17,
"Elizabethtown, KY",Msa,KY,134966.33,131702.75,127027.83,123209.08,126929.83,130070.75,131467.83,139652.17,145201.08,152639.50,
"Pottsville, PA",Msa,PA,80155.33,72857.92,74503.08,75699.17,75986.08,75882.50,75914.50,78457.50,80268.00,83361.83,
"Wheeling, OH",Msa,OH,72067.25,71305.58,71319.25,73223.25,76720.42,80565.08,84657.83,88654.25,94091.00,99911.50,
"Florence, AL",Msa,AL,99233.40,97481.67,96482.33,101183.50,103135.83,104589.67,106157.58,109553.67,113947.92,118302.33,
"Grand Junction, CO",Msa,CO,213000.17,187964.83,182742.83,191207.17,196275.42,200653.75,213823.50,224702.08,245360.17,261958.25,
"Concord, NH",Msa,NH,217257.83,210928.92,211953.00,211863.33,219102.50,219563.92,230492.17,244946.92,258643.75,268720.08,
"Dothan, AL",Msa,AL,118219.33,111646.25,109369.17,107439.17,107863.25,110000.83,112259.25,114950.92,117235.42,119432.08,
"Santa Fe, NM",Msa,NM,318671.33,294871.50,285289.17,289950.83,300482.58,308171.58,320878.92,333870.42,342536.33,377185.92,
"Johnstown, PA",Msa,PA,77142.58,75954.25,75774.25,76840.33,75639.08,76248.00,76855.83,76177.75,75557.75,78009.67,
"Traverse City, MI",Msa,MI,150893.67,144696.50,152078.25,169366.17,180216.83,189288.08,199196.58,214495.50,233795.17,242646.42,
"Hattiesburg, MS",Msa,MS,124381.80,124501.81,124656.67,123986.92,124861.83,128088.42,130900.33,134140.42,138824.00,143756.67,
"Dalton, GA",Msa,GA,108781.17,100939.75,96562.67,100541.58,107442.42,113329.17,118723.17,125498.75,133074.92,141653.17,
"Midland, TX",Msa,TX,160870.58,164791.92,178787.50,196247.92,212304.67,215258.17,209117.83,216339.50,239972.42,267039.92,
"Homosassa Springs, FL",Msa,FL,124085.92,110500.67,104177.42,107795.58,109860.17,118500.33,127146.67,141224.92,155198.17,163112.25,
"Auburn, AL",Msa,AL,170660.58,162214.50,160924.67,158683.75,159804.92,163040.08,167437.83,176742.67,190500.58,200280.67,
"Valdosta, GA",Msa,GA,112826.08,105794.83,102436.00,106960.58,113962.58,120927.50,117285.00,116821.92,120922.33,125544.08,
"Coeur d'Alene, ID",Msa,ID,209241.92,186671.50,191631.67,210817.33,227110.75,235841.92,253382.50,273880.25,307337.00,340757.17,
"Springfield, OH",Msa,OH,96950.25,92495.83,94927.00,91589.25,93543.58,96382.00,100273.25,107820.92,113565.08,119458.08,
"St. George, UT",Msa,UT,211307.17,205056.25,210286.00,231035.50,247959.67,255345.42,267260.42,285602.08,314867.83,333572.42,
"Vero Beach, FL",Msa,FL,152915.50,137949.92,133997.42,149228.83,162511.67,176545.67,193585.17,210668.83,226960.08,233840.58,
"Odessa, TX",Msa,TX,101978.08,109337.00,115268.50,125240.17,139862.33,152565.42,164552.25,171496.25,181095.17,192437.92,
"Napa, CA",Msa,CA,399004.75,375412.00,379245.67,467015.67,536065.25,571913.08,619538.92,650176.67,684609.42,701769.75,
"Tupelo, MS",Msa,MS,100893.92,101524.83,100185.92,100971.00,103417.58,107041.25,111015.33,113743.25,116556.42,120965.17,
"Battle Creek, MI",Msa,MI,90480.83,87782.08,86981.33,87814.00,91044.17,97474.75,100889.33,105257.92,111208.08,119149.50,
"Jamestown, NY",Msa,NY,87586.83,87274.42,86856.08,86938.50,87931.42,88609.92,89902.83,91744.25,93360.00,100736.17,
"Eureka, CA",Msa,CA,252255.50,244193.50,225779.92,244287.25,261125.83,268141.08,285469.25,312214.67,323197.17,327482.83,
"Rapid City, SD",Msa,SD,176015.42,176406.67,172521.42,176647.50,183494.75,190078.42,197346.92,207148.67,214826.25,225531.50,
"Flagstaff, AZ",Msa,AZ,287662.17,250038.17,246831.00,271274.50,290360.33,299225.08,315160.33,335646.00,353046.00,367404.67,
"Wausau, WI",Msa,WI,140034.58,131326.42,130189.75,133545.17,135736.25,138185.17,143596.83,150845.00,159255.50,168821.42,
"La Crosse, WI",Msa,WI,148859.25,145256.83,143234.75,149264.50,154380.92,159726.58,166442.33,177256.42,188243.67,198567.42,
"Lebanon, PA",Msa,PA,171590.33,165446.17,162042.08,163655.83,164380.42,164570.83,165313.08,170477.50,178932.33,186662.42,
"Idaho Falls, ID",Msa,ID,160393.17,144123.17,139000.83,151274.50,154517.67,160549.50,173479.75,188777.83,207981.08,233333.42,
"Sierra Vista, AZ",Msa,AZ,98848.58,92653.17,97371.42,110088.00,118942.58,126566.92,131420.58,136470.58,142187.00,152491.75,
"Pittsfield, MA",Msa,MA,227060.75,222084.58,210293.42,214569.50,216828.67,218885.33,221138.67,225527.33,231480.50,242340.75,
"Lawton, OK",Msa,OK,82951.92,81981.83,82624.50,83149.17,85231.33,88070.25,90042.42,92581.92,92698.92,94456.58,
"Farmington, NM",Msa,NM,98805.67,99973.83,101367.00,108325.67,111828.50,113184.83,113765.25,118211.75,121307.83,128497.42,
"Jackson, TN",Msa,TN,105544.42,97570.75,98772.33,100297.83,100511.58,102528.33,104183.42,108483.42,116650.50,120956.67,
"Morgantown, WV",Msa,WV,124297.92,123034.83,127546.50,138139.00,142281.92,147031.17,150658.50,153792.00,160061.25,164408.33,
"Glens Falls, NY",Msa,NY,155197.83,154279.08,154179.42,159689.50,164816.83,170654.83,173165.67,179009.58,181664.50,190290.08,
"Winchester, VA",Msa,VA,193106.25,190031.92,193373.00,200210.25,208446.75,210967.25,215249.75,225294.25,235268.50,243822.00,
"St. Joseph, MO",Msa,MO,100276.75,97329.08,96496.58,97346.00,99949.67,102956.92,107105.25,111305.00,115213.17,116650.67,
"Altoona, PA",Msa,PA,95876.75,93913.00,94031.33,93609.75,104087.83,102991.67,105342.08,113802.75,115902.50,116397.25,
"New Bern, NC",Msa,NC,147627.92,142464.00,139861.33,140283.50,136396.00,135114.92,137638.00,142053.00,146902.75,155041.67,
"Carbondale, IL",Msa,IL,101722.17,97738.75,97698.25,90625.92,88025.92,91373.83,92876.67,95150.00,97793.25,100107.92,
"London, KY",Msa,KY,83369.50,80724.08,78873.75,81179.75,83213.17,85874.75,88629.08,94049.25,99114.33,101551.58,
"Logan, ID",Msa,UT,184701.08,170911.58,158824.83,169741.92,179632.58,198991.33,215890.00,234318.67,256338.58,278538.00,
"Harrisonburg, VA",Msa,VA,189211.50,184565.42,185379.33,186381.50,190750.17,195471.58,199909.42,206065.25,214252.08,224728.50,
"Beckley, WV",Msa,WV,76186.42,74977.08,76701.92,78633.33,78983.92,80043.92,78014.08,78135.58,79481.92,80857.75,
"Mansfield, OH",Msa,OH,85518.83,81375.25,80616.42,84653.17,83878.00,90878.92,96528.75,97461.25,107427.33,114637.25,
"Weirton, OH",Msa,OH,68754.08,66844.67,66905.50,67790.75,69631.75,74216.00,76593.33,78294.00,81543.17,85741.17,
"Goldsboro, NC",Msa,NC,116316.00,112328.50,110816.92,111978.17,115039.67,119783.67,125376.42,125840.17,128647.00,131421.25,
"Augusta, ME",Msa,ME,145859.33,143061.08,142160.33,143167.08,144880.25,148408.92,151325.50,154643.83,163976.58,171920.83,
"Hammond, LA",Msa,LA,151449.67,144873.83,145578.83,146040.58,148029.33,153820.08,154786.33,159347.17,158308.83,158355.33,
"Jonesboro, AR",Msa,AR,104680.92,104968.75,106403.58,108604.92,110626.00,112809.75,114927.50,119850.42,124927.83,129656.17,
"Sherman, TX",Msa,TX,113810.75,111723.00,109719.00,105974.33,111277.08,121724.58,132177.83,146870.17,163927.00,174995.33,
"Anniston, AL",Msa,AL,91724.50,88862.00,87088.92,86344.25,88614.25,90582.25,92030.75,93595.08,96925.50,102394.58,
"Staunton, VA",Msa,VA,173227.92,169458.17,168906.25,170223.08,173631.25,176707.83,180286.50,186059.08,192767.42,202047.67,
"Muncie, IN",Msa,IN,74726.75,72866.92,72412.42,72074.42,75789.92,78759.83,80934.00,84674.58,90053.58,95324.42,
"Mount Vernon, WA",Msa,WA,253929.42,237779.75,231418.92,234409.42,247160.50,263995.75,291657.33,321089.42,355132.58,381399.42,
"Albany, OR",Msa,OR,161606.08,151700.75,151016.67,162357.92,173301.67,184265.25,200618.67,226462.50,254677.25,274727.92,
"Watertown, NY",Msa,NY,123690.25,126827.58,135543.92,136674.42,136950.08,135804.50,135033.58,137420.17,139696.00,142106.33,
"Williamsport, PA",Msa,PA,136805.25,135637.58,135724.83,137041.00,140309.25,145776.50,149692.17,149607.17,157883.67,163634.42,
"Cleveland, TN",Msa,TN,127653.58,125591.25,118969.83,128451.25,133702.25,137637.42,141183.50,149735.17,160266.83,167824.50,
"Sheboygan, WI",Msa,WI,113336.42,105595.42,95195.33,110002.25,113273.33,117516.00,122878.58,132783.58,144232.42,153445.33,
"Bismarck, ND",Msa,ND,181059.33,186330.92,204456.50,232152.42,250552.92,264870.50,264385.08,264738.00,264662.25,264324.50,
"Owensboro, KY",Msa,KY,102530.00,96420.42,96207.67,96781.83,98388.92,102309.08,106530.42,112567.75,119332.25,125352.00,
"Dunn, NC",Msa,NC,150267.75,144580.83,139874.75,138220.83,148811.92,146101.67,149391.92,154436.33,157819.42,165210.50,
"Wooster, OH",Msa,OH,134736.67,131756.25,133751.50,136739.92,131732.17,140232.58,145053.50,151158.33,159326.83,164133.25,
"Morristown, TN",Msa,TN,121705.08,114587.00,112132.50,112716.67,121106.42,123611.50,130663.83,135933.75,143352.33,152426.42,
"Kankakee, IL",Msa,IL,132259.83,127103.75,125581.00,125828.58,129558.42,128835.67,128560.17,131765.00,138000.83,144662.33,
"Brunswick, GA",Msa,GA,166199.83,152617.33,147432.50,152739.08,161264.58,160228.58,167715.75,175483.92,185824.58,192111.17,
"Ogdensburg, NY",Msa,NY,72583.83,73287.00,74111.00,72755.50,75260.50,73861.42,72690.33,72039.67,71562.17,76916.17,
"San Angelo, TX",Msa,TX,117211.38,119733.68,120517.13,121300.57,123389.75,127438.00,131952.83,138847.92,147769.08,153933.67,
"Michigan City, IN",Msa,IN,121901.75,120272.00,120099.58,122269.00,125060.83,127249.92,125492.33,130953.08,141221.33,150615.58,
"Holland, MI",Msa,MI,135017.75,130294.17,124655.33,142826.00,151460.25,157170.67,163819.33,181145.83,192713.83,201881.92,
"Wenatchee, WA",Msa,WA,211231.33,200571.42,200932.67,216575.33,233602.50,254518.42,277654.92,301750.17,329008.67,352654.58,
"Lawrence, KS",Msa,KS,169349.42,169031.75,171150.58,170884.17,168827.67,164636.00,178401.17,189156.50,196791.33,204658.83,
"Decatur, IL",Msa,IL,89093.08,85330.00,85182.25,86193.58,86788.67,85596.67,85857.58,85330.17,84252.17,89379.75,
"Missoula, MT",Msa,MT,254232.92,242630.92,248296.08,254864.83,265788.75,273713.00,284601.33,301452.00,317645.75,337327.50,
"Salem, OH",Msa,OH,83137.42,80479.42,80428.00,81481.83,83621.00,86598.67,89906.83,93857.33,98546.50,103851.42,
"Bay City, MI",Msa,MI,85723.33,83645.83,84246.25,89171.67,93885.50,92553.50,94516.75,96339.33,100755.33,105500.67,
"Lewiston, ME",Msa,ME,153588.92,152048.17,149349.92,147817.00,148174.25,146971.25,147599.08,160666.58,172513.17,179807.75,
"Roseburg, OR",Msa,OR,188981.17,177291.00,168644.33,148973.58,160984.25,167658.17,175668.42,189101.83,205105.92,219561.25,
"Sumter, SC",Msa,SC,106531.83,102929.25,101841.08,105253.50,109687.75,115167.67,120559.83,117884.00,122250.83,126977.50,
"Show Low, AZ",Msa,AZ,149225.75,135281.08,142206.33,157441.58,167128.75,174207.42,181931.00,190346.67,204099.75,220416.75,
"Meridian, MS",Msa,MS,84885.81,84885.46,84886.17,84884.75,88338.25,91273.67,93567.25,95996.08,98955.33,103214.83,
"Bluefield, WV",Msa,WV,65236.83,64723.17,65567.00,66766.67,68502.92,70261.25,72219.08,73884.17,76346.50,79014.83,
"Danville, VA",Msa,VA,88853.08,87548.92,87631.08,88767.33,90336.17,92049.75,93283.92,95434.17,98131.83,102078.83,
"Lima, OH",Msa,OH,94081.33,91062.92,89361.42,89644.67,90519.08,94802.92,97503.75,102034.25,108884.75,114629.75,
"Cookeville, TN",Msa,TN,119300.92,115972.50,113544.17,120032.50,121787.25,125013.33,131901.33,137875.67,148283.25,158361.67,
"California-Lexington Park, MD",Msa,MD,286389.00,274074.67,269348.17,279575.83,279399.58,273605.75,273243.08,279150.92,292501.83,296301.08,
"Gadsden, AL",Msa,AL,83156.67,81044.75,79742.92,77092.92,77516.08,78854.92,80797.25,83678.50,89110.75,92320.00,
"Cumberland, MD",Msa,MD,78298.25,78683.33,82365.33,82043.50,86513.83,90663.33,88895.08,91955.33,91987.75,96644.25,
"Longview, WA",Msa,WA,170990.42,160154.17,157902.67,165019.25,171822.08,185534.75,202593.58,226060.67,254225.08,280661.50,
"Whitewater, WI",Msa,WI,180703.42,162793.92,153841.67,162418.58,180436.08,180411.83,191081.58,200934.33,214051.83,224341.58,
"Fond du Lac, WI",Msa,WI,110207.75,108998.25,104663.42,108602.17,117228.25,120833.50,120432.42,128063.92,134955.25,142354.67,
"Ithaca, NY",Msa,NY,189022.08,185942.42,185198.92,193848.08,206214.75,209407.25,208932.42,216693.17,223303.83,220053.33,
"Ashtabula, OH",Msa,OH,98172.08,95515.00,94939.00,92774.67,96208.00,97230.58,98734.67,100652.08,103896.42,110437.75,
"Gettysburg, PA",Msa,PA,211725.50,204927.00,203368.92,203057.17,204405.00,206977.75,195675.25,201730.42,210961.67,216342.33,
"Pine Bluff, AR",Msa,AR,55539.67,55378.58,55313.08,55657.75,55207.42,55997.25,57128.42,59089.50,60230.67,63173.92,
"Tullahoma, TN",Msa,TN,113310.75,110629.33,109245.17,109206.75,112994.92,118859.67,127791.17,135686.83,147601.33,153811.75,
"Richmond, KY",Msa,KY,129009.08,129178.58,129988.17,129046.92,129931.42,133305.00,139811.00,148191.08,155420.58,164500.50,
"Adrian, MI",Msa,MI,113310.33,107784.42,106590.17,110720.92,116382.58,122692.08,130946.42,142206.00,150204.67,157123.25,
"Twin Falls, ID",Msa,ID,140734.00,130253.92,132348.42,139973.42,151677.75,160528.25,172021.33,182622.92,199405.00,221494.25,
"Corning, NY",Msa,NY,94333.17,92497.92,93574.42,97073.92,98543.67,98537.17,99001.17,102203.58,106800.67,108483.42,
"Sebring, FL",Msa,FL,104459.08,95209.75,87650.33,87110.17,93153.25,101575.83,110227.00,122164.67,132380.42,141478.83,
"Truckee, CA",Msa,CA,349889.25,314299.67,296584.67,335225.08,387790.83,386750.50,410438.17,442085.58,467330.08,477006.83,
"Paducah, KY",Msa,KY,89616.00,91415.00,92573.42,90151.17,91947.50,96127.25,98955.58,101500.58,106220.58,111445.08,
"Grand Forks, ND",Msa,ND,129185.64,140419.17,152629.53,165901.67,179079.75,191761.67,199160.33,202231.83,206700.42,212603.25,
"Shelby, NC",Msa,NC,127728.75,123028.67,120366.83,120777.92,123192.25,127326.33,131386.08,135828.42,138297.75,146556.58,
"Fairbanks, AK",Msa,AK,211219.08,211829.00,211924.50,209162.17,200862.92,204720.33,210202.50,220278.67,223828.00,228366.50,
"Ocean City, NJ",Msa,NJ,378442.92,358398.92,351918.92,351301.58,353983.50,354262.17,357684.92,362518.17,380148.83,392386.83,
"Mankato, MN",Msa,MN,150075.58,145600.83,146320.00,154156.75,161883.08,168522.58,178134.75,190669.83,203071.75,211017.25,
"Rome, GA",Msa,GA,95951.25,88844.33,85927.42,89517.08,94432.08,99575.92,104109.00,109112.17,117587.67,126982.08,
"Cape Girardeau, MO",Msa,MO,127587.42,125223.17,118822.50,119037.00,123008.75,129332.92,136001.83,143105.67,148160.00,157275.83,
"Hot Springs, AR",Msa,AR,125115.58,123441.58,124473.92,131427.58,128174.08,127020.58,129823.83,133992.75,141043.08,148154.17,
"Greenwood, SC",Msa,SC,91192.33,87805.67,88457.58,90769.33,93035.00,96866.67,100967.75,106240.08,112460.83,117730.17,
"Sunbury, PA",Msa,PA,85675.75,84228.67,84738.17,86050.42,87966.58,90850.00,94577.83,98950.25,103203.00,108114.17,
"Clarksburg, WV",Msa,WV,78773.25,77173.42,77007.00,77763.50,80079.00,84037.58,87086.08,90128.83,96056.92,100516.92,
"Talladega, AL",Msa,AL,94783.00,91467.00,91026.83,90513.92,90932.00,92232.33,93542.25,95425.17,98923.33,103821.75,
"Dubuque, IA",Msa,IA,146124.83,146405.42,147775.75,150023.67,158190.67,161332.83,164993.17,171324.50,174075.25,181642.42,
"The Villages, FL",Msa,FL,200885.58,197862.25,198264.75,215299.42,243264.92,250291.58,246584.42,253380.08,265649.83,283648.58,
"Albertville, AL",Msa,AL,95744.75,93501.33,94232.50,95561.33,98968.92,103812.33,111474.17,113576.92,119899.17,127420.42,
"Manhattan, KS",Msa,KS,155007.50,158568.75,159766.17,161933.25,165947.92,172133.50,179115.08,185465.08,192150.33,199147.50,
"Parkersburg, WV",Msa,WV,89480.00,88716.75,88649.50,90146.50,92426.25,94041.17,96342.67,98568.92,102579.83,106956.50,
"New Philadelphia, OH",Msa,OH,113502.58,110813.50,110892.58,112831.92,117648.00,122421.33,127412.17,135106.50,143815.92,149429.00,
"Orangeburg, SC",Msa,SC,82165.83,78912.92,77996.42,78069.67,79778.00,83068.92,85866.17,88654.92,91928.67,95601.50,
"Cheyenne, WY",Msa,WY,209548.75,208846.75,209374.83,218599.08,227673.75,237697.75,248922.25,257171.17,273719.58,290011.08,
"New Castle, PA",Msa,PA,95237.42,92140.50,90293.08,90378.17,90959.33,92660.00,95518.00,99093.92,103700.67,109077.83,
"Brainerd, MN",Msa,MN,149520.92,144089.92,142914.17,148028.42,155073.00,160784.17,170320.67,178058.83,187928.50,200141.17,
"Kalispell, MT",Msa,MT,244788.08,218915.00,212552.08,247536.50,273230.50,285337.50,296546.58,311642.25,333495.75,355290.83,
"Sevierville, TN",Msa,TN,176684.00,172078.75,167324.75,168995.83,174943.50,180228.83,184776.58,197732.92,213461.25,234580.42,
