RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"New Orleans, LA",Msa,LA,181112.08,174580.17,171709.25,175647.17,181905.42,186626.58,193247.08,198691.25,202103.17,204568.58,
"Buffalo, NY",Msa,NY,127889.08,126643.08,125718.83,129500.75,134510.08,137198.75,142236.17,151836.17,162148.83,171468.75,
"Raleigh, NC",Msa,NC,214793.17,204672.83,201205.83,208532.50,217246.58,226869.17,238905.17,254164.00,268150.67,281655.75,
"Birmingham, AL",Msa,AL,143627.92,137172.42,132645.50,135346.67,137976.25,141789.25,145650.42,151237.58,158416.08,167067.50,
"Salt Lake City, UT",Msa,UT,232514.75,213278.83,215582.58,242857.42,258097.08,272396.92,294165.08,321459.42,350563.50,378012.75,
"Rochester, NY",Msa,NY,129307.17,125921.83,125376.58,127320.75,129278.92,131398.33,140613.33,144305.83,146414.08,154832.25,
"Grand Rapids, MI",Msa,MI,129245.92,123009.50,124924.58,135526.17,146178.50,156572.75,168747.67,184659.08,200216.00,214595.00,
"Tucson, AZ",Msa,AZ,171825.50,150935.67,146119.17,158566.25,168724.75,170083.33,176218.25,187671.50,201585.50,213879.42,
"Urban Honolulu, HI",Msa,HI,523784.58,530730.50,531731.42,558448.83,599915.33,624000.50,649120.67,687787.67,717111.92,719780.75,
"Tulsa, OK",Msa,OK,127519.00,122187.33,120609.50,123091.00,125682.25,129475.92,133187.75,138616.17,143227.33,147399.42,
"Fresno, CA",Msa,CA,176827.67,156014.00,155789.92,178585.58,200772.25,208108.08,219990.00,236335.92,255661.17,267337.67,
"Worcester, MA",Msa,MA,244015.00,228879.75,217677.00,227616.75,238523.83,241536.50,252382.00,267736.75,283799.92,293340.83,
"Stamford, CT",Msa,CT,422536.17,397792.50,386379.50,391354.00,404072.17,403656.00,406849.67,410555.00,416539.42,417634.92,
"Albuquerque, NM",Msa,NM,183495.58,172923.92,168963.75,172833.50,176893.42,178390.33,182664.83,188667.42,195984.75,206183.75,
"Albany, NY",Msa,NY,188519.75,181733.42,177791.17,181407.17,180027.25,179714.42,182257.00,187299.58,196867.25,202989.67,
"Omaha, NE",Msa,NE,148705.58,141851.25,141720.33,146998.25,152059.50,157769.58,164869.75,175596.25,187449.33,196769.08,
"New Haven, CT",Msa,CT,242299.25,227078.67,213279.25,215530.50,214804.92,213951.17,211565.58,216792.50,225471.83,230512.92,
"Bakersfield, CA",Msa,CA,144423.33,133040.00,135913.75,161344.25,184652.83,191862.83,197259.50,204551.00,215887.08,226778.58,
"Knoxville, TN",Msa,TN,151578.08,147461.00,145926.08,147674.00,150813.83,154247.50,160672.33,168670.25,179282.92,191222.67,
"Greenville, SC",Msa,SC,154130.92,148689.00,146638.25,150008.17,155380.58,161756.25,169768.42,181629.58,194372.75,205878.08,
"Ventura, CA",Msa,CA,435500.08,412838.00,391783.08,455696.67,507639.25,522221.75,550577.17,579341.08,607369.33,615764.00,
"Allentown, PA",Msa,PA,200113.50,187592.50,178536.00,180245.58,183555.17,183757.83,187514.00,193172.75,203660.25,211421.00,
"El Paso, TX",Msa,TX,126573.58,123688.08,121281.00,121815.42,121904.08,121437.08,122550.92,127007.58,128186.67,134698.33,
"Baton Rouge, LA",Msa,LA,176804.08,167585.00,164863.08,168330.25,172673.25,176371.08,179361.42,183732.58,193665.67,190014.00,
